,,,,,,,,,,
회차,일자,당첨자수,당첨금액,당첨번호 (1),당첨번호 (2),당첨번호 (3),당첨번호 (4),당첨번호 (5),당첨번호 (6),당첨번호 (보너스)
718,2016.09.03,17,"926,166,464원",4,11,20,23,32,39,40
717,2016.08.27,6,"2,702,433,688원",2,11,19,25,28,32,44
716,2016.08.20,12,"1,358,752,157원",2,6,13,16,29,30,21
715,2016.08.13,6,"2,605,510,438원",2,7,27,33,41,44,10
714,2016.08.06,7,"2,085,131,733원",1,7,22,33,37,40,20
713,2016.07.30,9,"1,714,720,917원",2,5,15,18,19,23,44
712,2016.07.23,4,"4,034,485,125원",17,20,30,31,33,45,19
711,2016.07.16,7,"2,277,413,358원",11,15,24,35,37,45,42
710,2016.07.09,5,"2,895,441,150원",3,4,9,24,25,33,10
709,2016.07.02,14,"1,165,271,625원",10,18,30,36,39,44,32
708,2016.06.25,4,"4,099,552,219원",2,10,16,19,34,45,1
707,2016.06.18,12,"1,322,167,313원",2,12,19,24,39,44,35
706,2016.06.11,4,"3,831,746,063원",3,4,6,10,28,30,37
705,2016.06.04,4,"3,987,206,532원",1,6,17,22,28,45,23
704,2016.05.28,4,"3,865,190,344원",1,4,8,23,33,42,45
703,2016.05.21,5,"3,235,784,100원",10,28,31,33,41,44,21
702,2016.05.14,11,"1,465,091,387원",3,13,16,24,26,29,9
701,2016.05.07,10,"1,583,183,175원",3,10,14,16,36,38,35
700,2016.04.30,8,"2,082,099,188원",11,23,28,29,30,44,13
